FILE_SIZE,TRANSMISSIONS
1,9
2,17
3,25
4,33
5,41
6,49
7,57
8,65
9,73
10,81
11,89
12,97
13,105
14,113
15,121
16,129
17,137
18,145
19,153
20,161
21,169
22,177
23,185
24,193
25,201
26,209
27,217
28,225
29,233
30,241
31,249
32,257
33,265
34,273
35,281
36,289
37,297
38,305
39,313
40,321
41,329
42,337
43,345
44,353
45,361
46,369
47,377
48,385
49,393
50,401
51,409
52,417
53,425
54,433
55,441
56,449
57,457
58,465
59,473
60,481
61,489
62,497
63,505
64,513
65,521
66,529
67,537
68,545
69,553
70,561
71,569
72,577
73,585
74,593
75,601
76,609
77,617
78,625
79,633
80,641
81,649
82,657
83,665
84,673
85,681
86,689
87,697
88,705
89,713
90,721
91,729
92,737
93,745
94,753
95,761
96,769
97,777
98,785
99,793
100,801
101,809
102,817
103,825
104,833
105,841
106,849
107,857
108,865
109,873
110,881
111,889
112,897
113,905
114,913
115,921
116,929
117,937
118,945
119,953
120,961
121,969
122,977
123,985
124,993
125,1001
126,1009
127,1017